             Jan         Feb         Mar         Apr         May         Jun
2001   14.600000   39.500000  289.800000   76.000000  291.000000  451.400000
2002    5.000000    2.000000    0.600000   71.200000  264.400000  411.000000
2003    9.800000   25.400000    4.800000   46.800000  662.700000  792.400000
2004   17.000000  128.600000   79.870469   37.800000  428.600000 1306.500000
2005    0.200000    0.000000   54.600000   32.000000  291.000000  425.700000
2006  160.600000    8.800000   38.400000   29.600000  327.508600  188.200000
2007    0.000000    0.600000   31.800000   25.400000  308.600000  358.400000
2008   24.000000   97.000000   78.700000  149.800000  839.800000  302.000000
2009    8.000000   64.500000   82.900000  407.300000  298.500000  810.000000
2010   10.037345    5.499134   15.300000  148.600000  248.600000  254.000000
2011   94.000000   13.800000   88.900000   11.900000  462.500000  529.100000
             Jul         Aug         Sep         Oct         Nov         Dec
2001 1642.000000  274.000000  842.200000   97.000000   61.600000   23.200000
2002 1883.400000  525.600000  301.500000  224.800000   67.300000   10.000000
2003  721.300000 1089.400000  303.200000  179.700000   60.400000    4.400000
2004  445.400000 1432.900000  225.600000   42.400000  114.500000  154.900000
2005  292.400000  690.200000  694.600000  256.600000   55.200000   68.000000
2006 1769.800000  735.800000  207.600000  316.000000   72.400000   43.200000
2007  219.000000 1201.600000  408.400000  410.300000  444.800000   21.600000
2008  681.200000  999.500000  761.000000  178.100000   82.600000    0.000000
2009  758.400000 1087.700000  516.900000 1981.800000   22.200000    0.000000
2010  543.700000  536.600000  296.800000  920.100000  226.400000   47.400000
2011  435.900000 1096.300000  819.200000  332.400000   81.600000   67.400000

> rainfallforecast <- HoltWinters(rainfallts, beta=FALSE, gamma=FALSE)
> rainfallforecast
Holt-Winters exponential smoothing without trend and without seasonal component.

Call:
 HoltWinters(x = rainfallts, beta = FALSE, gamma = FALSE) 

Smoothing parameters:
 alpha:  0.506862 
 beta :  FALSE 
 gamma:  FALSE 

Coefficients:
      [,1]
a 190.3247
> 

> rainfallforecast$fitted
               xhat      level
Feb 2001   14.60000   14.60000
Mar 2001   27.22086   27.22086
Apr 2001  160.31226  160.31226
May 2001  117.57758  117.57758
Jun 2001  205.47882  205.47882
Jul 2001  330.12693  330.12693
Aug 2001  995.06559  995.06559
Sep 2001  629.58481  629.58481
Oct 2001  737.35138  737.35138
Nov 2001  412.78157  412.78157
Dec 2001  234.78097  234.78097
Jan 2002  127.53861  127.53861
Feb 2002   65.42844   65.42844
Mar 2002   33.27897   33.27897
Apr 2002   16.71524   16.71524
May 2002   44.33150   44.33150
Jun 2002  155.87587  155.87587
Jul 2002  285.18861  285.18861
Aug 2002 1095.26129 1095.26129
Sep 2002  806.52161  806.52161
Oct 2002  550.54533  550.54533
Nov 2002  385.43739  385.43739
Dec 2002  224.18562  224.18562
Jan 2003  115.62306  115.62306
Feb 2003   61.98537   61.98537
Mar 2003   43.44163   43.44163
Apr 2003   23.85566   23.85566
May 2003   35.48527   35.48527
Jun 2003  353.39661  353.39661
Jul 2003  575.91076  575.91076
Aug 2003  649.60305  649.60305
Sep 2003  872.51943  872.51943
Oct 2003  583.95302  583.95302
Nov 2003  379.05251  379.05251
Dec 2003  217.53965  217.53965
Jan 2004  109.50725  109.50725
Feb 2004   62.61884   62.61884
Mar 2004   96.06218   96.06218
Apr 2004   87.85522   87.85522
May 2004   62.48413   62.48413
Jun 2004  248.05437  248.05437
Jul 2004  784.54028  784.54028
Aug 2004  612.64295  612.64295
Sep 2004 1028.40011 1028.40011
Oct 2004  621.49121  621.49121
Nov 2004  327.97186  327.97186
Dec 2004  219.77108  219.77108
Jan 2005  186.89039  186.89039
Feb 2005   92.26412   92.26412
Mar 2005   45.49894   45.49894
Apr 2005   50.11192   50.11192
May 2005   40.93168   40.93168
Jun 2005  167.68182  167.68182
Jul 2005  298.46144  298.46144
Aug 2005  295.38913  295.38913
Sep 2005  495.50377  495.50377
Oct 2005  596.41809  596.41809
Nov 2005  424.17720  424.17720
Dec 2005  237.15666  237.15666
Jan 2006  151.41757  151.41757
Feb 2006  156.07180  156.07180
Mar 2006   81.42531   81.42531
Apr 2006   59.61742   59.61742
May 2006   44.40273   44.40273
Jun 2006  187.89835  187.89835
Jul 2006  188.05124  188.05124
Aug 2006  989.77964  989.77964
Sep 2006  861.04700  861.04700
Oct 2006  529.83952  529.83952
Nov 2006  421.45239  421.45239
Dec 2006  244.53098  244.53098
Jan 2007  142.48395  142.48395
Feb 2007   70.26424   70.26424
Mar 2007   34.95408   34.95408
Apr 2007   33.35540   33.35540
May 2007   29.32311   29.32311
Jun 2007  170.87796  170.87796
Jul 2007  265.92577  265.92577
Aug 2007  242.14088  242.14088
Sep 2007  728.45428  728.45428
Oct 2007  566.23092  566.23092
Nov 2007  487.19545  487.19545
Dec 2007  465.70681  465.70681
Jan 2008  240.60593  240.60593
Feb 2008  130.81660  130.81660
Mar 2008  113.67625  113.67625
Apr 2008   95.94812   95.94812
May 2008  123.24359  123.24359
Jun 2008  486.43883  486.43883
Jul 2008  392.95379  392.95379
Aug 2008  539.05485  539.05485
Sep 2008  772.43702  772.43702
Oct 2008  766.64003  766.64003
Nov 2008  468.33143  468.33143
Dec 2008  272.81881  272.81881
Jan 2009  134.53731  134.53731
Feb 2009   70.40035   70.40035
Mar 2009   67.40969   67.40969
Apr 2009   75.26114   75.26114
May 2009  243.55903  243.55903
Jun 2009  271.40652  271.40652
Jul 2009  544.39911  544.39911
Aug 2009  652.86804  652.86804
Sep 2009  873.26785  873.26785
Oct 2009  692.63852  692.63852
Nov 2009 1346.06553 1346.06553
Dec 2009  675.04835  675.04835
Jan 2010  332.89197  332.89197
Feb 2010  169.24921  169.24921
Mar 2010   86.25051   86.25051
Apr 2010   50.28839   50.28839
May 2010  100.11881  100.11881
Jun 2010  175.37829  175.37829
Jul 2010  215.22865  215.22865
Aug 2010  381.71831  381.71831
Sep 2010  460.22196  460.22196
Oct 2010  377.38957  377.38957
Nov 2010  652.46889  652.46889
